"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "CSS", "JavaScript JSX", "YAML", "JSON with Comments", "Python", "HTML", "comment", "blank", "total"
"c:\Users\VICTUS\Documents\OMR project\api\convert.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 8, 34
"c:\Users\VICTUS\Documents\OMR project\api\convert_to_sheet.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 449, 0, 104, 137, 690
"c:\Users\VICTUS\Documents\OMR project\api\generate_sounds.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 2, 19, 180
"c:\Users\VICTUS\Documents\OMR project\api\json\data copy.json", "JSON", 13880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13881
"c:\Users\VICTUS\Documents\OMR project\api\json\data.json", "JSON", 13900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13901
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\page.json", "JSON", 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 420
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\page_group.json", "JSON", 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 420
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result.json", "JSON", 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 262
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result10.json", "JSON", 428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 428
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result11.json", "JSON", 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 475
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result2.json", "JSON", 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 342
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result3.json", "JSON", 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 375
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result4.json", "JSON", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 258
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result5.json", "JSON", 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 323
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result6.json", "JSON", 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 337
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result7.json", "JSON", 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 287
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result8.json", "JSON", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 227
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result9.json", "JSON", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 382
"c:\Users\VICTUS\Documents\OMR project\api\json\drafts\result_mix.json", "JSON", 596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 598
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z0.json", "JSON", 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 348
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z1.json", "JSON", 439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 439
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z10.json", "JSON", 477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 477
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z11.json", "JSON", 489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 490
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z12.json", "JSON", 454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 454
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z13.json", "JSON", 515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 515
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z14.json", "JSON", 601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 601
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z15.json", "JSON", 714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 714
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z16.json", "JSON", 521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 521
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z17.json", "JSON", 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 475
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z18.json", "JSON", 535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 535
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z19.json", "JSON", 503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 503
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z2.json", "JSON", 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 463
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z20.json", "JSON", 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 467
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z21.json", "JSON", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 337
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z22.json", "JSON", 385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z3.json", "JSON", 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 394
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z4.json", "JSON", 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z5.json", "JSON", 545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 545
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z6.json", "JSON", 428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 428
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z7.json", "JSON", 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 475
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z8.json", "JSON", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 388
"c:\Users\VICTUS\Documents\OMR project\api\json\rewrite-the-stars\z9.json", "JSON", 528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 528
