epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4872,2.95512,7.38361,1.41487,0,0,0,0,2.06024,4.68807,1.04713,5e-05,5e-05,5e-05
2,39.1725,2.33915,6.25484,1.18122,0,0,0,0,1.8053,4.57995,0.96267,0.000100991,0.000100991,0.000100991
3,55.9042,1.89425,4.9868,0.97151,0,0,0,0,1.44098,4.40733,0.89921,0.000146413,0.000146413,0.000146413
4,69.2195,1.65894,3.96491,0.93043,0.00142,0.03322,0.0301,0.02277,1.3024,4.16809,0.87904,0.000186266,0.000186266,0.000186266
5,83.2136,1.28651,2.72342,0.87681,0.00105,0.03266,0.02771,0.02011,1.16535,3.90149,0.86202,0.00022055,0.00022055,0.00022055
6,97.5724,1.38164,2.49329,0.91386,0.00299,0.05817,0.04826,0.03514,1.15271,3.83205,0.86709,0.000249266,0.000249266,0.000249266
7,112.437,1.34539,2.1849,0.89182,0.00924,0.16356,0.16024,0.11245,1.18073,3.43861,0.86027,0.000272412,0.000272412,0.000272412
8,125.736,1.34277,2.17019,0.87752,0.01173,0.16667,0.16583,0.12104,1.18909,3.23847,0.85025,0.000289991,0.000289991,0.000289991
9,139.96,1.42434,2.11652,0.87577,0.00969,0.16667,0.16583,0.12086,1.20923,2.66278,0.84336,0.000302,0.000302,0.000302
10,152.271,1.34313,1.97658,0.87738,0.00922,0.16667,0.1654,0.1133,1.30986,2.60718,0.85972,0.000308441,0.000308441,0.000308441
11,236.047,1.37978,2.9736,0.87007,0.91667,0.06585,0.16581,0.1182,1.20895,2.27807,0.8498,0.000309313,0.000309313,0.000309313
12,249.694,1.40304,2.66839,0.86776,1,0.14461,0.16648,0.12293,1.18251,1.89708,0.83679,0.000284688,0.000284688,0.000284688
13,261.721,1.36592,2.84858,0.88531,0.91652,0.16265,0.16763,0.11588,1.25822,1.61918,0.84361,0.00025375,0.00025375,0.00025375
14,274.165,1.20959,2.673,0.83641,0.99961,0.16667,0.16747,0.12342,1.15679,1.37101,0.83041,0.000222813,0.000222813,0.000222813
15,285.662,1.25134,2.42444,0.84245,0.99949,0.16667,0.16752,0.12514,1.14342,1.21573,0.83614,0.000191875,0.000191875,0.000191875
16,297.64,1.28924,2.51983,0.85252,0.99925,0.16667,0.16766,0.12679,1.07851,1.05425,0.82951,0.000160938,0.000160938,0.000160938
17,311.696,1.39862,2.6544,0.84731,0.9994,0.16667,0.16776,0.12658,1.06174,0.9558,0.82283,0.00013,0.00013,0.00013
18,324.107,1.19364,2.16214,0.83933,0.91637,0.16667,0.16817,0.12789,1.05615,0.92794,0.82191,9.90625e-05,9.90625e-05,9.90625e-05
19,336.323,1.22894,2.48094,0.845,0.91651,0.16667,0.16831,0.12911,1.03697,0.91764,0.82273,6.8125e-05,6.8125e-05,6.8125e-05
20,348.736,1.27114,2.38521,0.85513,0.91655,0.16664,0.16838,0.1293,1.02553,0.88515,0.82311,3.71875e-05,3.71875e-05,3.71875e-05
