epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.43639,3.9012,5.301,1.72686,0,0,0,0,3.23153,5.05114,1.32447,3.2e-05,3.2e-05,3.2e-05
2,12.5257,3.40078,5.11265,1.39421,0,0,0,0,3.25726,4.97938,1.14023,6.77756e-05,6.77756e-05,6.77756e-05
3,15.5272,3.10219,4.77412,1.11986,0,0,0,0,3.1391,4.89798,1.03727,0.000103314,0.000103314,0.000103314
4,18.515,2.815,4.32752,1.02273,0,0,0,0,2.76613,4.75024,0.99117,0.000138614,0.000138614,0.000138614
5,22.9606,2.63674,3.74848,0.98499,0.03135,0.00801,0.01866,0.00739,2.56094,4.35261,0.94817,0.000173677,0.000173677,0.000173677
6,26.3755,2.55433,3.27934,0.95971,0.10018,0.03536,0.06546,0.03789,2.42615,3.87675,0.93444,0.000208502,0.000208502,0.000208502
7,29.8022,2.41078,2.97657,0.9461,0.06106,0.12644,0.09976,0.05607,2.28307,3.36721,0.92508,0.00024309,0.00024309,0.00024309
8,33.3524,2.24892,2.66237,0.92807,0.74739,0.07382,0.10822,0.05888,2.18679,2.79103,0.91373,0.00027744,0.00027744,0.00027744
9,36.8122,2.23903,2.36805,0.93414,0.6997,0.13207,0.14582,0.08133,2.08985,2.36733,0.90306,0.000311552,0.000311552,0.000311552
10,40.3707,2.18062,2.22283,0.91593,0.64652,0.14789,0.16495,0.09159,2.08326,2.16632,0.89787,0.000345427,0.000345427,0.000345427
11,43.8943,2.11603,2.0242,0.91314,0.60335,0.17816,0.18009,0.09661,2.04504,1.99302,0.89459,0.000379064,0.000379064,0.000379064
12,47.4501,2.12907,1.95118,0.9054,0.61512,0.21172,0.19791,0.11044,1.94102,1.87017,0.88727,0.00038548,0.00038548,0.00038548
13,50.9091,2.10573,1.94037,0.90118,0.59419,0.22037,0.2116,0.10651,1.96912,1.82494,0.88765,0.00038416,0.00038416,0.00038416
14,54.3524,2.08012,1.79572,0.8925,0.65896,0.21987,0.2269,0.11589,1.98491,1.7571,0.89031,0.00038284,0.00038284,0.00038284
