epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.05322,4.3242,5.70234,1.68357,0,0,0,0,3.24257,4.97107,1.22155,4.17e-06,4.17e-06,4.17e-06
2,6.12252,3.74115,5.39437,1.52683,0,0,0,0,3.26659,4.97175,1.23545,1.22623e-05,1.22623e-05,1.22623e-05
3,8.07279,4.1216,5.40276,1.53876,0,0,0,0,3.28794,4.97325,1.25009,2.00243e-05,2.00243e-05,2.00243e-05
4,10.2059,3.985,5.52673,1.52566,0,0,0,0,3.31027,4.97432,1.25719,2.74561e-05,2.74561e-05,2.74561e-05
5,12.1534,4.14573,5.50091,1.61635,0,0,0,0,3.32207,4.97464,1.25882,3.45576e-05,3.45576e-05,3.45576e-05
6,14.3721,4.10136,5.53671,1.51652,0,0,0,0,3.30058,4.96778,1.25054,4.13289e-05,4.13289e-05,4.13289e-05
7,16.2986,4.08426,5.28442,1.46065,0,0,0,0,3.24788,4.95637,1.21388,4.77699e-05,4.77699e-05,4.77699e-05
8,18.3141,3.64317,5.05704,1.25959,0,0,0,0,3.23389,4.94961,1.17764,5.38806e-05,5.38806e-05,5.38806e-05
9,20.4268,3.58694,4.95596,1.21064,0,0,0,0,3.23627,4.94869,1.16133,5.9661e-05,5.9661e-05,5.9661e-05
10,22.4172,3.71885,4.98186,1.19956,0,0,0,0,3.26987,4.94343,1.14574,6.51112e-05,6.51112e-05,6.51112e-05
11,24.2715,3.65815,4.89798,1.16179,0,0,0,0,3.34838,4.93514,1.13308,7.02311e-05,7.02311e-05,7.02311e-05
12,26.1716,3.21604,4.70075,1.09063,0,0,0,0,3.45607,4.92091,1.12306,7.50208e-05,7.50208e-05,7.50208e-05
13,28.1408,3.56344,4.73684,1.10778,0,0,0,0,3.54714,4.90338,1.11337,7.94802e-05,7.94802e-05,7.94802e-05
14,29.9269,3.37276,4.54918,1.06503,0,0,0,0,3.60481,4.88044,1.10183,8.36093e-05,8.36093e-05,8.36093e-05
15,31.8599,3.45248,4.51431,1.07415,0,0,0,0,3.58391,4.85859,1.08338,8.74082e-05,8.74082e-05,8.74082e-05
16,33.778,3.35959,4.44018,1.03332,0,0,0,0,3.52043,4.83653,1.06514,9.08768e-05,9.08768e-05,9.08768e-05
17,35.5324,3.39774,4.34394,1.00667,0,0,0,0,3.43907,4.8132,1.0445,9.40152e-05,9.40152e-05,9.40152e-05
18,37.3864,3.20174,4.1708,1.02855,0,0,0,0,3.31855,4.78786,1.02911,9.68232e-05,9.68232e-05,9.68232e-05
19,39.126,3.13675,4.06869,1.0149,0,0,0,0,3.20033,4.76148,1.01863,9.9301e-05,9.9301e-05,9.9301e-05
20,41.0021,3.23623,3.97786,1.02012,0,0,0,0,3.11115,4.72398,1.00984,0.000101449,0.000101449,0.000101449
21,43.2456,3.25292,3.90759,1.00812,0,0,0,0,3.04227,4.68404,1.0046,0.000103266,0.000103266,0.000103266
22,45.4153,2.99895,3.6773,0.98593,0,0,0,0,2.99673,4.63664,0.99818,0.000104753,0.000104753,0.000104753
23,47.3807,3.185,3.81877,0.98633,0.05,0.00417,0.02708,0.01225,2.96876,4.58768,0.99407,0.00010591,0.00010591,0.00010591
24,49.3932,3.26072,3.68332,0.98508,0.0375,0.00625,0.02266,0.01283,2.92665,4.52573,0.98643,0.000106736,0.000106736,0.000106736
25,51.3464,3.11837,3.60655,0.97716,0.08545,0.02131,0.05316,0.02945,2.9003,4.46213,0.98104,0.000107232,0.000107232,0.000107232
26,53.2941,3.02883,3.51017,0.96557,0.07997,0.04637,0.06466,0.03749,2.88683,4.39512,0.97663,0.000107398,0.000107398,0.000107398
27,55.2626,3.20879,3.5919,0.97835,0.06181,0.05357,0.06444,0.03788,2.88154,4.31584,0.97434,0.000107234,0.000107234,0.000107234
28,57.2604,3.15516,3.4865,0.97501,0.06181,0.05357,0.06444,0.03788,2.88154,4.31584,0.97434,0.000106739,0.000106739,0.000106739
29,59.3963,3.24031,3.48453,0.95327,0.05178,0.05853,0.06545,0.0396,2.90552,4.23726,0.9736,0.000105915,0.000105915,0.000105915
30,61.3655,3.18654,3.49434,0.94439,0.04071,0.06087,0.06516,0.03912,2.93394,4.1503,0.97421,0.00010476,0.00010476,0.00010476
